username	date	value
09087fd7f0a3a2a1f6e932f0948bf3a3994ed6cad230dc992ef49a727ad4f29b	20140412	1
091003f307c314331ddd876d32901a7bea10b590127e75785c1d622f5700667c	20140410	1
099af08e62886b057bf3d6d0bf68bb5e659799ecba868aade6a43b5b7d15cf88	20140322	1
09c469dfe2aa2f7190714608c893ea9d451c7e95e66689dc26ba98dd92a99ed0	20140412	1
0a24adea91110e03b31801c78643380cec069dadd66f74a94ae91ac04ac8a7eb	20140411	1
0a24adea91110e03b31801c78643380cec069dadd66f74a94ae91ac04ac8a7eb	20140413	1
0a24adea91110e03b31801c78643380cec069dadd66f74a94ae91ac04ac8a7eb	20140420	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140317	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140318	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140319	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140320	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140324	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140402	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140407	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140408	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140409	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140410	1
0a2529a5ff063abc864765a21e3874b86f3776a591a4673359b07b184123aea1	20140414	1
0a2b4f3526aa6596fdf667e249eca5bc4a4eaa380ec75abf2a6377206cffd5dd	20140403	1
0a8b7a1201eac7b3c9b338cd78e5e5ebc5624fdafec7458c670a76108eaa4d9b	20140419	1
0a90a8b994321ae8df84173691f27569337ee1eb3493703da6342f0254b790fc	20140410	1
0aa05991fa7a2c05a42d7bd56ad688bbc685b38b573b83e2ef3a95f5b9cd2dc2	20140412	1
0acb0219361ed5accbb073bf8e6aee920de546ed0affcab8bc61ec42409d82e6	20140331	1
0acc854be437d032a67904aab7f3d730566fe4dcf3a099e32a0623cc67914666	20140327	1
0ad9e5007c31f81885a2cb0cc8c64bfc9bbae3c709a235c1a8ca67bca07009a8	20140325	1
0ae0a17eeb7d7696adc67ac1b3543652f2abb82ff09c5943388d5c38655c8568	20140328	1
0b2ffc68364f4b75ef7e0b6d8cec419973ad13946c53079862f72a67c49fb97a	20140413	1
0b38aceebc51e73b4eec99ab804e1d5ea312e957a3fe45316c7c6a2a8cef7f07	20140323	1
0b38afb0bab04e3f176829671fd3f65eacf99229727b31fc0cfc0c00d437ca47	20140412	1
0b3efb319e4e2ec28b4b1daef1b621ae2a72987f90eeba631ac703692196b103	20140412	1
0b891f3e1a2a99775955365130af0ec1c7cb83eadf29cb701c1b55865a15a349	20140322	1
0ba6b1fd20789bad850d929c5925503220e088bb7a0aecb7bfb83a9d40462810	20140419	1
0bb07f9d917ede4eb45bed6023901b6ee3445b5c867d522e18e69f68d2328ec6	20140413	1
0be31a3329c89a0d6fe46221bafcf7e54c985aa8178c4d1cf4e851cbb58a27b5	20140407	1
0bf9f91c14dcd44d3b058fc7e81d9c196d8f4a5bab8a19e761d9f930d57bbac8	20140402	1
0c279c3366afce5cb7b05829256ca47f6a847361baa7073ebc8205c1a3a8de8f	20140331	1
0c3607bda8d46f7f4b7c71d5907243c846a1f7845cbd0209dfafd446af066565	20140322	1
0c5bb358765d6ab9df75d781315ac41e62a6b94390f1565b65e84bdca0e46cfe	20140329	1
0c72586c597e9f08c8269df9a05e54f0ca682688ea2f0eb09434fc4c62438f77	20140415	1
0cd49a10ef28ec6d0c5d1009b72ea43f6c3a5fdc9ccb673670d411b095677aec	20140328	1
0cd49a10ef28ec6d0c5d1009b72ea43f6c3a5fdc9ccb673670d411b095677aec	20140329	1
0cd77350b183a927543b67255f39a9c604ffc31ddd185f9f9f0d400effcc45ea	20140328	1
0cd77350b183a927543b67255f39a9c604ffc31ddd185f9f9f0d400effcc45ea	20140329	1
0cd77350b183a927543b67255f39a9c604ffc31ddd185f9f9f0d400effcc45ea	20140401	1
0cd77350b183a927543b67255f39a9c604ffc31ddd185f9f9f0d400effcc45ea	20140408	1
0cd77350b183a927543b67255f39a9c61a5f3b801f2b68e7fee2f1d600505c98	20140401	1
0cf8ac0485d5f9d9a76fae07df66a383cfc5163e4d7e749fd59bf20a1b31d9ae	20140402	1
0cf8ac0485d5f9d9a76fae07df66a383cfc5163e4d7e749fd59bf20a1b31d9ae	20140410	1
0d548c933cb80a24048185a29c4de68b58181c0d2d4374b20ced41c0e8e2196c	20140404	1
0d62575bc54c85cea720b5143325378d18ee6018e5d601856abf66de9dd1f85a	20140419	1
0d6740f07065e4d379044dd7cb06536ddfd39d122827a7082b5c92da5d751cc4	20140317	1
0d6a4cd578705012f05d448736d88106e09edc3b157e7cee032794fcf5831710	20140405	1
0d91cd673cfdcafdba99e89e9a20f3fec02199e0aaf6bffff06ef7567a277ce0	20140331	1
0da9e5f05e0ecd8e7c8aa179a3e0bbdbd7be5aa14b3eefbefe2ba186409e54d7	20140331	1
0dbf6b843f6bc309564f961690432ceeb18aad8057f9b18518511a9ff93e09c4	20140409	1
0ddfa16fa345d566deb5a80e6cb1310f118635be56cd0b17e141ae9685160565	20140419	1
0deed0b29a7a8de11fb19872ae6e7f75a92e8519d8813f89883cdcb93d1a4e4c	20140331	1
0e0e5dda780d6746551c09056fb41f047d72cdc9a07942b6351a7b8342512711	20140328	1
0e0e5dda780d6746551c09056fb41f047d72cdc9a07942b6351a7b8342512711	20140402	1
0e0e5dda780d6746551c09056fb41f047d72cdc9a07942b6351a7b8342512711	20140409	1
0e3878c0d1b4439dc598f122a13cfd5ab36ddc91bcf21232d38ac0eb63d13721	20140411	1
0e45059870277c168a199a5e3d35d243b51de0c5aeb0aadf197cbd3768b7309e	20140322	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140402	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140403	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140404	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140405	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140406	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140407	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140408	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140409	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140410	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140411	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140412	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140413	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140414	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140415	1
0e61774f8c90048695b54db8468ae448d796874b69382565941378f283933600	20140425	1
0efdd96c1fab1632a2273a8078442d7e45dcfe28fadaa1d7e68fb766ae93dd84	20140416	1
0f07f3cb92e172f31acfc44e147c45a4fc210e14ecd8f8138890e83dce5e9128	20140415	1
0f07f3cb92e172f31acfc44e147c45a4fc210e14ecd8f8138890e83dce5e9128	20140417	1
0f12759a943dc53d9433105bfc9d3f71eb5ee5af3c40f6936f1af8a070aeda5c	20140409	1
